update_step,total_steps,avg_step_reward,avg_episode_reward,avg_episode_length,n_finished,n_total,policy_loss,value_loss,entropy
1,8192,0.3761,34.1291,43.4528,53,64,-0.0955,49.5089,3.6591
2,16384,0.5899,49.4391,53.4250,40,64,-0.0817,77.1614,3.6064
3,24576,0.7026,53.0255,57.5000,28,64,-0.0615,85.5899,3.2161
4,32768,0.6135,50.7705,55.2105,38,64,-0.0330,94.7599,3.5130
5,40960,0.6486,58.3041,63.6053,38,64,0.0129,106.3714,3.3206
6,49152,0.6924,62.3213,67.9118,34,64,0.0176,99.6762,3.4015
7,57344,0.6989,64.0707,69.7647,34,64,0.0423,102.6255,3.4266
8,65536,0.7855,75.3713,82.0000,26,64,0.0488,84.2368,3.3623
9,73728,0.7981,77.8704,84.6400,25,64,0.0656,82.4650,3.2544
10,81920,0.7960,69.3557,75.5714,21,64,0.0812,90.1261,3.1990
11,90112,0.8582,79.0377,86.0769,13,64,0.0699,62.6107,3.0476
12,98304,0.8623,90.3956,98.0000,17,64,0.0751,64.6006,3.2025
13,106496,0.8757,93.6803,101.6667,15,64,0.0864,52.7332,3.6221
14,114688,0.8924,101.7461,110.0000,14,64,0.0750,53.0134,3.5422
15,122880,0.8841,96.2297,105.3846,13,64,0.0811,59.9711,3.6034
16,131072,0.8879,94.4765,104.1000,10,64,0.0774,52.3902,3.6870
17,139264,0.9037,104.6675,114.1667,6,64,0.0493,28.5454,3.8174
18,147456,0.9001,102.4129,112.8571,7,64,0.0537,33.6751,3.8529
19,155648,0.8720,89.8863,98.2500,12,64,0.1129,92.0313,3.9542
20,163840,0.8845,96.9500,106.8000,10,64,0.0877,66.4810,3.9625
21,172032,0.8823,96.0350,105.5455,11,64,0.0834,94.8876,3.9484
22,180224,0.8945,95.3245,104.5556,9,64,0.0845,63.1725,3.9164
23,188416,0.9089,103.8267,112.5000,6,64,0.0670,37.0814,4.0352
24,196608,0.9094,98.9537,108.0000,4,64,0.0565,26.8082,3.9163
25,204800,0.9134,99.7183,108.3333,3,64,0.0620,22.7244,3.8507
26,212992,0.9195,114.5333,124.3333,3,64,0.0220,17.3656,3.8484
27,221184,0.9205,115.5100,125.0000,1,64,0.0041,7.4902,3.7867
28,229376,0.9208,117.3650,127.0000,1,64,0.0020,7.2729,3.7601
29,237568,0.9173,99.5399,107.5000,2,64,0.0711,16.8279,3.8025
30,245760,0.9245,0.0000,128.0000,0,64,0.0461,3.8974,3.8199
31,253952,0.9278,0.0000,128.0000,0,64,0.0028,2.8349,3.5281
32,262144,0.9291,0.0000,128.0000,0,64,0.0075,2.1882,3.5055
33,270336,0.9314,0.0000,128.0000,0,64,0.0126,1.6599,3.4148
34,278528,0.9351,0.0000,128.0000,0,64,0.0176,1.1877,3.1664
35,286720,0.9354,0.0000,128.0000,0,64,-0.0059,0.9524,3.1236
36,294912,0.9405,0.0000,128.0000,0,64,0.0053,0.7466,2.7288
37,303104,0.9416,0.0000,128.0000,0,64,0.0054,0.5586,2.8130
38,311296,0.9423,0.0000,128.0000,0,64,-0.0001,0.4874,2.4925
39,319488,0.9417,0.0000,128.0000,0,64,-0.0047,0.3254,2.5115
40,327680,0.9416,0.0000,128.0000,0,64,0.0095,0.2645,2.1075
41,335872,0.9420,0.0000,128.0000,0,64,0.0017,0.2443,1.8362
42,344064,0.9422,0.0000,128.0000,0,64,0.0012,0.2042,1.8793
43,352256,0.9436,0.0000,128.0000,0,64,0.0006,0.1926,2.1520
44,360448,0.9437,0.0000,128.0000,0,64,0.0205,0.1283,1.9341
45,368640,0.9436,0.0000,128.0000,0,64,0.0010,0.1467,1.9586
46,376832,0.9435,0.0000,128.0000,0,64,0.0022,0.1006,1.8705
47,385024,0.9436,0.0000,128.0000,0,64,0.0009,0.0938,1.9806
48,393216,0.9436,0.0000,128.0000,0,64,0.0059,0.0804,2.1588
49,401408,0.9436,0.0000,128.0000,0,64,0.0048,0.0744,2.2320
50,409600,0.9436,0.0000,128.0000,0,64,0.0033,0.0552,2.0214
51,417792,0.9435,0.0000,128.0000,0,64,0.0018,0.0428,1.7122
52,425984,0.9435,0.0000,128.0000,0,64,0.0022,0.0467,2.0148
53,434176,0.9434,0.0000,128.0000,0,64,0.0095,0.0393,1.7147
54,442368,0.9435,0.0000,128.0000,0,64,0.0175,0.0525,1.9981
55,450560,0.9435,0.0000,128.0000,0,64,0.0043,0.0319,2.0481
56,458752,0.9435,0.0000,128.0000,0,64,0.0028,0.0325,1.9197
57,466944,0.9436,0.0000,128.0000,0,64,-0.0008,0.0234,1.7628
58,475136,0.9436,0.0000,128.0000,0,64,0.0017,0.0278,1.9407
59,483328,0.9439,0.0000,128.0000,0,64,-0.0040,0.0336,2.0459
60,491520,0.9482,0.0000,128.0000,0,64,0.0083,0.0615,2.3054
61,499712,0.9487,0.0000,128.0000,0,64,0.0024,0.0325,2.0352
62,507904,0.9489,0.0000,128.0000,0,64,0.0017,0.0304,1.7967
63,516096,0.9491,0.0000,128.0000,0,64,0.0056,0.0250,2.0302
64,524288,0.9491,0.0000,128.0000,0,64,0.0035,0.0310,2.0763
65,532480,0.9491,0.0000,128.0000,0,64,0.0011,0.0268,2.0313
66,540672,0.9490,0.0000,128.0000,0,64,0.0008,0.0309,1.8132
67,548864,0.9491,0.0000,128.0000,0,64,0.0049,0.0262,2.4154
68,557056,0.9496,0.0000,128.0000,0,64,0.0070,0.0252,2.2368
69,565248,0.9498,0.0000,128.0000,0,64,0.0013,0.0164,2.2592
70,573440,0.9498,0.0000,128.0000,0,64,0.0032,0.0189,2.4099
71,581632,0.9498,0.0000,128.0000,0,64,0.0088,0.0292,2.2610
72,589824,0.9499,0.0000,128.0000,0,64,0.0040,0.0240,2.7553
73,598016,0.9499,0.0000,128.0000,0,64,0.0013,0.0215,2.2090
74,606208,0.9503,0.0000,128.0000,0,64,-0.0013,0.0224,2.3738
75,614400,0.9511,0.0000,128.0000,0,64,0.0035,0.0211,2.3116
76,622592,0.9514,0.0000,128.0000,0,64,0.0042,0.0159,2.1256
77,630784,0.9517,0.0000,128.0000,0,64,0.0035,0.0212,2.1615
78,638976,0.9522,0.0000,128.0000,0,64,0.0025,0.0314,2.4772
