update_step,total_steps,avg_step_reward,avg_episode_reward,avg_episode_length,n_finished,n_total,policy_loss,value_loss,entropy,approx_kl
1,16384,-0.9626,-49.3466,20.3125,64,64,0.3388,376.6325,5.1234,5.7246
2,32768,-1.3816,-38.6796,18.9219,64,64,0.2922,367.3604,5.4518,3.3000
3,49152,-1.3747,-39.5221,18.4062,64,64,0.3096,274.8707,5.5439,3.6182
4,65536,-1.2608,-49.0964,19.0625,64,64,0.2748,391.1985,5.6561,4.4544
5,81920,-0.9705,-47.2872,18.7188,64,64,0.2489,360.2426,5.6930,5.1282
6,98304,-1.2573,-63.6748,20.8125,64,64,0.2621,665.8656,5.6515,4.9060
7,114688,-1.4541,-39.2273,18.3281,64,64,0.2722,280.0407,5.8065,3.2234
8,131072,-1.2161,-36.6817,18.5312,64,64,0.2539,289.4477,5.7899,3.6757
9,147456,-1.1660,-35.7516,17.6719,64,64,0.2518,283.0373,5.8093,3.9681
10,163840,-0.9252,-29.5705,18.2500,64,64,0.2620,176.3326,5.7986,4.0898
11,180224,-1.1821,-53.7663,19.1250,64,64,0.2370,591.6857,5.7944,4.8485
12,196608,-1.3898,-52.1404,19.5469,64,64,0.2610,506.4799,5.8266,4.1732
13,212992,-1.0659,-46.0520,18.8438,64,64,0.2278,476.1252,5.8536,4.7262
14,229376,-1.3263,-38.9366,18.6875,64,64,0.2580,313.2216,5.8406,3.5903
15,245760,-1.2139,-34.0844,18.2500,64,64,0.2750,219.0254,5.8306,3.5878
16,262144,-1.1379,-37.3837,17.9688,64,64,0.2366,265.1879,5.7621,4.2758
17,278528,-1.2498,-33.3923,18.2500,64,64,0.2284,251.2075,5.8448,3.3480
18,294912,-1.2409,-41.1988,18.9531,64,64,0.2460,336.3231,5.8444,3.9425
19,311296,-1.1050,-34.9316,18.3594,64,64,0.2448,264.8725,5.8444,3.9794
20,327680,-1.0992,-33.7544,17.8906,64,64,0.2644,180.3687,5.8009,4.0760
21,344064,-1.2267,-37.0382,18.6562,64,64,0.2460,261.8538,5.8144,3.7922
22,360448,-1.1873,-41.3694,18.7344,64,64,0.2503,300.7595,5.8458,4.2285
23,376832,-0.9673,-26.4712,18.0625,64,64,0.2153,149.2936,5.8028,3.7256
24,393216,-0.9455,-35.9077,17.7344,64,64,0.2084,284.9939,5.7962,4.8565
25,409600,-1.2296,-40.8587,18.2969,64,64,0.2654,238.1466,5.7775,4.2682
26,425984,-1.2861,-41.4568,19.1250,64,64,0.2436,329.1457,5.8023,3.9544
27,442368,-0.9058,-43.3331,20.0938,64,64,0.2333,359.5063,5.7962,5.1439
28,458752,-1.2341,-37.4317,18.6250,64,64,0.2275,307.8554,5.8702,3.7549
29,475136,-1.2092,-32.0910,17.9844,64,64,0.2139,204.5848,5.8243,3.4253
30,491520,-1.0332,-40.3394,19.0781,64,64,0.2511,306.6992,5.8191,4.6185
31,507904,-1.2001,-26.8040,17.8750,64,64,0.1682,235.2306,5.8070,2.8299
32,524288,-1.4200,-42.3380,19.0156,64,64,0.2595,300.6191,5.8408,3.5922
33,540672,-1.0090,-23.4630,18.0938,64,64,0.1991,157.3236,5.8742,3.0270
34,557056,-1.2650,-26.4041,17.9219,64,64,0.1676,169.0945,5.8631,2.3849
35,573440,-1.4120,-43.0513,18.7656,64,64,0.2497,377.7256,5.8295,3.7445
36,589824,-1.2212,-34.4979,18.5312,64,64,0.2342,249.2243,5.8787,3.4812
37,606208,-1.2167,-44.9928,18.9688,64,64,0.2473,389.7330,5.8912,4.2660
38,622592,-1.0775,-32.1327,18.5781,64,64,0.2293,236.8726,5.8856,3.7041
39,638976,-0.9563,-28.7290,18.6562,64,64,0.2584,172.1367,5.8966,3.7947
40,655360,-1.2168,-41.4717,18.3594,64,64,0.2630,296.4812,5.8912,4.1534
41,671744,-1.4536,-51.2650,19.5000,64,64,0.2669,489.0278,5.8475,4.1247
42,688128,-0.8511,-33.8897,18.5938,64,64,0.2691,178.6379,5.8913,4.7240
43,704512,-0.9888,-31.9184,18.0625,64,64,0.2384,217.5452,5.8325,4.2245
44,720896,-1.2767,-33.6697,18.6094,64,64,0.2176,257.5392,5.8374,3.2947
45,737280,-1.4270,-38.0923,18.2969,64,64,0.2431,258.1937,5.8006,3.4415
46,753664,-1.1964,-42.8377,19.2969,64,64,0.2456,351.1939,5.8537,4.2724
47,770048,-1.4519,-40.4565,18.3125,64,64,0.2254,364.9020,5.8281,3.5291
48,786432,-1.0158,-29.8629,18.0938,64,64,0.2379,196.0840,5.8791,3.8684
49,802816,-0.8966,-29.3104,17.9688,64,64,0.2063,268.2869,5.8687,4.2841
50,819200,-1.3063,-34.2705,18.0938,64,64,0.2663,200.7986,5.8393,3.4429
51,835584,-1.0142,-40.4080,18.2656,64,64,0.2386,316.3258,5.8108,4.9288
52,851968,-1.2468,-42.4341,19.0625,64,64,0.2456,411.8860,5.8699,4.1024
53,868352,-1.3509,-34.6304,18.1562,64,64,0.2385,300.9705,5.8603,3.2299
54,884736,-1.0640,-43.0600,19.2031,64,64,0.2712,308.2392,5.8484,4.6638
55,901120,-1.4062,-29.9120,17.8281,64,64,0.2291,216.9243,5.8709,2.4299
56,917504,-1.0695,-30.6901,18.3906,64,64,0.2829,186.2122,5.9253,3.6354
