episode,avg_reward,min_reward,max_reward,avg_episode_length,avg_policy_loss,avg_value_loss,avg_entropy
0,0.0,0.0,0.0,512.0,-0.03116822344600223,0.0007062248254328551,2.3222580045461654
1,0.0,0.0,0.0,512.0,-0.028501449248869902,1.8366064733754683e-05,2.2554917827248575
2,0.0,0.0,0.0,512.0,-0.024992022458172867,1.6492408571266992e-05,2.2386468619108197
3,0.0,0.0,0.0,512.0,-0.02665829013858456,9.575347835522052e-06,2.228278163075447
0,0.0,0.0,0.0,512.0,-0.03022442336950917,0.0013958935365366188,2.332817694544792
1,0.0,0.0,0.0,512.0,-0.0259359212446725,2.1468337076413492e-05,2.282031053304672
0,0.0,0.0,0.0,512.0,-0.02730591984000057,0.001591127960000449,2.3343721106648445
1,0.0,0.0,0.0,512.0,-0.027848123168223538,2.832268797590132e-05,2.2730731204152104
2,0.0,0.0,0.0,512.0,-0.02458980658411747,1.1317334774219034e-05,2.2399080023169518
3,0.0,0.0,0.0,512.0,-0.02593293557292782,1.0178848395980821e-05,2.1730242192745206
4,0.0,0.0,0.0,512.0,-0.026472340953478123,5.474096239765913e-06,2.127943295240402
5,0.0,0.0,0.0,512.0,-0.024359738048224246,5.652693428537248e-06,2.1060661897063255
6,0.0,0.0,0.0,512.0,-0.025729422694712414,4.9873743899198075e-06,2.073581983149052
7,0.0,0.0,0.0,512.0,-0.02534856678248616,5.304438904119024e-06,2.047033966332674
8,0.0,0.0,0.0,512.0,-0.02394717698043678,2.9614961025714592e-06,2.00135260745883
9,0.0,0.0,0.0,512.0,-0.026016508488100956,3.426844104215121e-06,1.950835819542408
0,-37811.83475756645,-91676.78108215332,-12922.672451019287,512.0,-0.02698483273707097,1525852.990625,2.336825047433376
