episode,avg_reward,min_reward,max_reward,avg_episode_length,avg_policy_loss,avg_value_loss,avg_entropy
0,0.0,0.0,0.0,256.0,-0.02519786104967352,0.002803103537007701,2.3678357839584354
1,0.0,0.0,0.0,256.0,-0.02572011261363514,7.541218205915358e-05,2.3337957203388213
2,0.0,0.0,0.0,256.0,-0.026570663414895536,4.0694566098409266e-05,2.3097521334886553
3,0.0,0.0,0.0,256.0,-0.029157025578024333,3.175639086521187e-05,2.273865115642548
4,0.0,0.0,0.0,256.0,-0.02845115961681586,2.7808906298787407e-05,2.2395402163267137
5,0.0,0.0,0.0,256.0,-0.022979291647789068,2.569729695096612e-05,2.21879543364048
6,0.0,0.0,0.0,256.0,-0.025572664555511437,1.6258628764376227e-05,2.172554636001587
7,0.0,0.0,0.0,256.0,-0.02608803946059197,1.6834031870871514e-05,2.150845301151276
8,0.0,0.0,0.0,256.0,-0.029478145687608048,8.411329412183477e-06,2.158475989103317
0,0.0,0.0,0.0,256.0,-0.026608936183038168,0.0014124890141829383,2.3651679396629333
1,0.0,0.0,0.0,256.0,-0.028608036212972365,5.827135719300713e-05,2.329865738749504
2,0.0,0.0,0.0,256.0,-0.026723569689784198,5.894663423759994e-05,2.3128826856613163
3,0.0,0.0,0.0,256.0,-0.026708575250813736,3.324485022631052e-05,2.2889326065778732
4,0.0,0.0,0.0,256.0,-0.02728574453503825,2.595149877606673e-05,2.26942692399025
5,0.0,0.0,0.0,256.0,-0.028315307639422825,1.9982316592859207e-05,2.2508316576480865
6,0.0,0.0,0.0,256.0,-0.029195008595706895,1.5547856099829006e-05,2.2376728951931
7,0.0,0.0,0.0,256.0,-0.024246344045968725,1.674538410156856e-05,2.1923497557640075
0,0.0,0.0,0.0,256.0,-0.02887423799838871,0.0015937344135636522,2.3677268236875535
1,0.0,0.0,0.0,256.0,-0.023054869900806806,6.766861282585524e-05,2.3318100601434706
0,-17482.64815747738,-26800.020378112793,-7321.909122467041,256.0,-0.025060128566110507,1161619.1046874998,2.364053580164909
1,-16226.73359656334,-37514.22529602051,-5869.138168334961,256.0,-0.02644487693323754,1068326.7804687498,2.3296137183904646
2,-14193.030063986778,-30650.86289215088,-5325.641635894775,256.0,-0.027046382025582717,843551.24375,2.2948966860771183
3,-16059.083614587784,-42651.88124084473,-6125.580951690674,256.0,-0.028893529664492233,1144037.05546875,2.2777327567338945
4,-17911.040627002716,-49971.15803527832,-6782.434341430664,256.0,-0.023069140335428527,1375781.5828125,2.2643616914749147
5,-16622.25624704361,-35241.42074584961,-5399.571666717529,256.0,-0.02790990864741616,1127930.3664062498,2.2432680428028107
