episode,final_epsilon,avg_reward,cumulative_reward,avg_tile_changes,avg_steps_to_threshold,n_finished,n_total
1,0.2215,5.0739,761.0795,53.0034,,0,880
2,0.0500,3.0541,458.1159,14.4318,,0,880
3,0.0500,2.1308,319.6193,6.5818,,0,880
4,0.0500,2.1049,315.7398,6.5364,,0,880
5,0.0500,2.1056,315.8398,6.5511,,0,880
6,0.0500,2.0769,311.5352,6.5636,,0,880
7,0.0500,2.0978,314.6750,6.5068,,0,880
8,0.0500,2.0936,314.0375,6.5455,,0,880
9,0.0500,2.1034,315.5091,6.7261,,0,880
10,0.0500,2.0887,313.3011,6.5807,,0,880
11,0.0500,2.1398,320.9727,6.5602,,0,880
12,0.0500,2.1127,316.9102,6.6830,,0,880
13,0.0500,2.1001,315.0091,6.6261,,0,880
14,0.0500,2.0987,314.8068,6.5818,,0,880
15,0.0500,2.0805,312.0773,6.4886,,0,880
16,0.0500,2.1057,315.8614,6.7330,,0,880
17,0.0500,2.0973,314.6011,6.6091,,0,880
18,0.0500,2.1218,318.2773,6.4750,,0,880
19,0.0500,2.1055,315.8239,6.5125,,0,880
20,0.0500,2.0886,313.2841,6.6966,,0,880
21,0.0500,2.1055,315.8227,6.5659,,0,880
22,0.0500,2.0971,314.5648,6.4989,,0,880
23,0.0500,2.1236,318.5409,6.6932,,0,880
24,0.0500,2.1316,319.7341,6.6375,,0,880
25,0.0500,2.1038,315.5670,6.5727,,0,880
26,0.0500,2.1251,318.7693,6.7909,,0,880
27,0.0500,2.1234,318.5148,6.6750,,0,880
28,0.0500,2.0975,314.6307,6.5580,,0,880
29,0.0500,2.0986,314.7909,6.7773,,0,880
30,0.0500,2.0883,313.2477,6.5580,,0,880
31,0.0500,2.0942,314.1307,6.6511,,0,880
32,0.0500,2.0782,311.7329,6.5955,,0,880
33,0.0500,2.1318,319.7739,6.6989,,0,880
34,0.0500,2.0895,313.4216,6.5659,,0,880
35,0.0500,2.1085,316.2807,6.7455,,0,880
36,0.0500,2.1150,317.2489,6.5477,,0,880
37,0.0500,2.0897,313.4511,6.4932,,0,880
38,0.0500,2.1025,315.3727,6.6239,,0,880
39,0.0500,2.1221,318.3159,6.6352,,0,880
40,0.0500,2.1096,316.4420,6.5682,,0,880
41,0.0500,2.1025,315.3784,6.5250,,0,880
42,0.0500,2.1261,318.9148,6.6386,,0,880
43,0.0500,2.1011,315.1636,6.6466,,0,880
44,0.0500,2.0769,311.5352,6.5227,,0,880
45,0.0500,2.1218,318.2727,6.6148,,0,880
46,0.0500,2.0790,311.8568,6.7227,,0,880
47,0.0500,2.1032,315.4739,6.5807,,0,880
48,0.0500,2.1154,317.3159,6.5818,,0,880
49,0.0500,2.1006,315.0932,6.3693,,0,880
50,0.0500,2.0959,314.3875,6.6193,,0,880
