episode,final_epsilon,avg_cumulative_reward,policy_entropy,avg_steps_to_threshold,n_finished,n_total
1,0.9782,30.8195,1.9445,37.0600,100,100
2,0.9536,57.9215,1.9399,38.5000,100,100
3,0.9296,58.4185,1.9325,36.9100,100,100
4,0.9008,171.3530,1.9201,37.7900,100,100
5,0.8803,27.3385,1.9092,37.6300,100,100
6,0.8564,101.1130,1.8944,36.4600,100,100
7,0.8348,117.6105,1.8792,42.9400,100,100
8,0.8134,125.4970,1.8624,41.4100,100,100
9,0.7937,63.4785,1.8456,40.2000,100,100
10,0.7645,146.7465,1.8182,41.7600,100,100
11,0.7437,128.7600,1.7971,41.2500,100,100
12,0.7192,143.9800,1.7703,43.2600,100,100
13,0.6987,308.9330,1.7465,39.0600,100,100
14,0.6797,210.1980,1.7233,39.9500,100,100
15,0.6613,219.0500,1.6998,42.9800,100,100
