episode,final_epsilon,avg_cumulative_reward,policy_entropy,avg_steps_to_threshold,n_finished,n_total
1,0.9465,-225.3311,2.3854,,0,320
2,0.9003,-198.6277,2.3583,,0,320
3,0.8564,-164.5372,2.3214,,0,320
4,0.8146,-25.1305,2.2777,,0,320
5,0.7749,-17.5714,2.2291,,0,320
6,0.7371,65.1784,2.1770,,0,320
7,0.7011,55.6586,2.1225,,0,320
8,0.6669,183.4463,2.0664,,0,320
9,0.6344,173.3736,2.0092,,0,320
10,0.6034,252.9723,1.9516,,0,320
11,0.5740,166.7085,1.8937,,0,320
12,0.5460,188.9887,1.8360,,0,320
13,0.5194,196.5770,1.7787,,0,320
14,0.4940,248.1231,1.7221,,0,320
15,0.4699,260.9836,1.6662,,0,320
16,0.4470,202.8478,1.6112,,0,320
17,0.4252,216.0605,1.5572,,0,320
18,0.4044,298.7944,1.5043,,0,320
19,0.3847,346.5200,1.4526,,0,320
20,0.3659,252.8244,1.4021,,0,320
21,0.3481,306.0166,1.3528,,0,320
22,0.3311,308.9264,1.3048,,0,320
23,0.3150,278.5758,1.2581,,0,320
24,0.2996,255.9728,1.2127,,0,320
25,0.2850,332.6144,1.1686,,0,320
26,0.2711,333.7684,1.1258,,0,320
27,0.2579,323.2682,1.0843,,0,320
28,0.2453,315.9622,1.0441,,0,320
29,0.2333,312.9936,1.0051,,0,320
30,0.2219,318.1745,0.9674,,0,320
31,0.2111,298.3106,0.9309,,0,320
32,0.2008,304.3857,0.8956,,0,320
33,0.1910,272.9353,0.8615,,0,320
34,0.1817,307.1400,0.8285,,0,320
35,0.1728,361.8862,0.7966,,0,320
36,0.1644,368.2556,0.7659,,0,320
37,0.1564,369.7384,0.7362,,0,320
38,0.1487,384.2095,0.7076,,0,320
39,0.1415,336.0102,0.6800,,0,320
40,0.1346,298.5432,0.6533,,0,320
41,0.1280,304.3272,0.6277,,0,320
42,0.1218,361.8811,0.6029,,0,320
43,0.1158,336.6200,0.5791,,0,320
44,0.1102,362.7015,0.5561,,0,320
45,0.1048,385.9741,0.5340,,0,320
